Model,Validation Accuracy,Validation F1 (macro),CV F1 (macro)
LightGBM,0.8311774461028192,0.7637676483170615,0.738826116516804
CatBoost,0.8796019900497513,0.794361269626176,0.7842699954741288
XGBoost Enhanced,0.8998341625207297,0.8291414634129365,0.8277891448577458
Explainable Boosting Machine,0.912106135986733,0.8534175058923039,0.8381878576998529
Random Forest,0.760530679933665,0.716370962486839,0.7074570635829599
